,zcta,total population,male,female,median age in years,hispanic or latino of any race,white alone,black or african american alone,asian alone,per-capita income,public transportation (excluding taxicab),average household size,positive,total tests,some_other_race,Education Index
0,10006,3454,0.47278517660683267,0.5272148233931674,31.8,0.11986103068905617,0.6320208453966416,0.010422698320787493,0.1988998262883613,114611,0.4212507237984945,1.93,0.0031847133757961785,0.012738853503184714,0.038795599305153444,0.9335848426681913
1,10007,7023,0.5863591057952442,0.4136408942047558,36.0,0.08258578954862594,0.7199202619962979,0.04186245194361384,0.11761355546062936,147547,0.3007261853908586,2.25,0.004841235939057383,0.01552043286344867,0.038017941050832976,0.7850491855456387
2,10005,8831,0.4532895481825388,0.5467104518174613,30.1,0.06884837504246405,0.6943720982901144,0.02479900351036123,0.16951647605027742,106702,0.4766164647265315,2.02,0.004416260899105424,0.013248782697316273,0.04246404710678292,0.8473209935370265
3,10280,9384,0.47708866155157714,0.5229113384484229,38.1,0.08802216538789429,0.7046035805626598,0.017476555839727195,0.15707587382779198,110785,0.3095694799658994,2.06,0.0029838022165387893,0.008844842284739984,0.032821824381926684,0.8755840326079946
4,10065,28109,0.43573232772421644,0.5642676722757836,39.8,0.06577964353054182,0.8070013163043865,0.02045608168202355,0.09367106620655306,129810,0.25027571240527946,1.87,0.0077555231420541465,0.022732932512718348,0.013091892276495072,0.881750397298531
5,10017,15801,0.45149041199924056,0.5485095880007594,39.7,0.05898360863236504,0.6850832225808493,0.0224036453389026,0.21213847224859186,111185,0.26852730839820266,1.57,0.005822416302765648,0.016960951838491233,0.021391051199291185,0.9208004300721515
6,10012,23411,0.49459655717397805,0.505403442826022,33.9,0.0638161547990261,0.6976207765580282,0.025458117978727948,0.17320917517406348,90389,0.31882448421682114,1.83,0.004228781342104139,0.012259194395796848,0.0398957754901542,0.8184200043284596
7,11109,5981,0.4840327704397258,0.5159672295602742,32.7,0.05567630830964722,0.6218023741849189,0.041464638020397925,0.25079418157498745,87893,0.5811737167697709,2.02,0.006186256478849691,0.01738839658919913,0.030262497910048487,0.9242686144230872
8,10010,33730,0.5149718351615772,0.48502816483842276,34.7,0.10978357545211978,0.6394900681885561,0.05123035873109991,0.17115327601541655,93605,0.3390750074117996,1.85,0.0050103765194189145,0.013993477616365253,0.02834272161280759,0.7873161053243084
9,10069,5085,0.4629301868239921,0.5370698131760079,36.0,0.011209439528023599,0.6141592920353982,0.02910521140609636,0.3014749262536873,113446,0.34749262536873154,1.99,0.00688298918387414,0.018485742379547688,0.04405113077679449,0.8614932539387598
10,10024,59001,0.45095845833121473,0.5490415416687853,43.1,0.10881171505567702,0.7678683412145557,0.02933848578837647,0.07243945017881052,123179,0.3916374298740699,2.02,0.006542261995559398,0.017033609599837293,0.021542007762580296,0.8781981417012716
11,10464,4434,0.487595850248083,0.5124041497519171,44.9,0.2519170049616599,0.6689219666215607,0.018718989625620207,0.05525484889490302,49875,0.11930536761389265,2.33,0.017140279657194408,0.04397834912043302,0.005187189896256202,0.4478757893292046
12,10004,3028,0.41842800528401586,0.5815719947159842,37.1,0.036988110964332896,0.6056803170409512,0.015521796565389696,0.29689564068692204,122165,0.3705416116248349,1.82,0.007595772787318362,0.019484808454425365,0.04491413474240423,1.0
13,10022,31125,0.453429718875502,0.546570281124498,47.5,0.05416867469879518,0.7878232931726907,0.011983935742971888,0.12212048192771084,146464,0.2451726907630522,1.69,0.007132530120481928,0.01821686746987952,0.023903614457831325,0.9744024319077188
14,10128,59256,0.4276022681247469,0.5723977318752531,39.5,0.12331240718239503,0.7109659781287971,0.02980288915890374,0.09755974078574321,103677,0.3868637775077629,1.92,0.006800999054948022,0.017331578236803025,0.038358984744160926,0.8996590186367589
15,10028,47793,0.4292678844182202,0.5707321155817797,38.9,0.07392295942920511,0.8094909296340468,0.00820203795534911,0.0942815893540895,120002,0.3971292867156278,1.88,0.006821082585315841,0.01719917142677798,0.014102483627309438,0.9121536567705153
16,10021,46215,0.4546143027155685,0.5453856972844314,41.0,0.07928161852212486,0.7928810992102131,0.005842259006815969,0.09375743806123553,121529,0.2486854917234664,1.83,0.008417180569079303,0.02114032240614519,0.028237585199610515,0.8744108939047547
17,10023,62435,0.4348682629935133,0.5651317370064868,43.3,0.10510130535757188,0.7246256106350605,0.03760711139585168,0.10630255465684312,119276,0.3184591975654681,1.8,0.005605830063265796,0.013950508528870025,0.026363417954672858,0.9195532218678976
18,11201,62823,0.47820065899431735,0.5217993410056826,35.2,0.11567419575633128,0.5888130143418812,0.1257501233624628,0.11791859669229422,83309,0.3867055059452748,2.06,0.0060487401111058055,0.014453305318115976,0.05184406984703055,0.7477061672019755
19,10003,54682,0.5029625836655572,0.49703741633444276,32.3,0.08240371603086939,0.7044548480304305,0.05414944588712922,0.1347061190153981,92781,0.2997147141655389,1.7,0.005211952744961779,0.012398961266961706,0.02428587103617278,0.7100894823506451
20,10308,30186,0.48264095938514545,0.5173590406148546,42.9,0.09567349102232824,0.8370767905651627,0.01026966143245213,0.049758166037235804,38608,0.11803485059299013,2.83,0.014609421586165773,0.033856754786987346,0.007221890942821175,0.3592629024318953
21,10016,51057,0.47329455314648333,0.5267054468535166,33.5,0.06939303131793878,0.6627103041698493,0.034862996259082984,0.1909238694008657,98378,0.26852341500675714,1.71,0.008656991205907124,0.01974264057817733,0.04210979885226316,0.8391245313532878
22,10025,92805,0.4513765422121653,0.5486234577878347,41.3,0.23421151877592802,0.5460373902268196,0.09910026399439685,0.08912235332148052,72802,0.3314045579440763,2.09,0.007025483540757502,0.016001293033780506,0.03152847368137492,0.6830027413655846
