,Test Date,County,New Positives,Cumulative Number of Positives,Number of New Tests Performed,Cumulative Number of Tests Performed
1325,2020-04-22,Brooklyn,873,39354,3526,85313
1332,2020-04-22,Manhattan,323,19348,1581,51268
1342,2020-04-22,Queens,1191,44904,4142,92530
1344,2020-04-22,Staten Island,245,10590,1031,27320
1366,2020-04-21,Bronx,879,30868,2942,65304
1387,2020-04-21,Brooklyn,787,38481,2827,81787
1394,2020-04-21,Manhattan,326,19025,1430,49687
1404,2020-04-21,Queens,891,43713,3058,88388
1406,2020-04-21,Staten Island,224,10345,998,26289
1428,2020-04-20,Bronx,617,29989,2050,62362
1449,2020-04-20,Brooklyn,664,37694,2300,78960
1456,2020-04-20,Manhattan,231,18699,1099,48257
1466,2020-04-20,Queens,799,42822,2498,85330
1468,2020-04-20,Staten Island,208,10121,882,25291
1490,2020-04-19,Bronx,549,29372,1707,60312
1511,2020-04-19,Brooklyn,548,37030,1835,76660
1518,2020-04-19,Manhattan,248,18468,954,47158
1528,2020-04-19,Queens,786,42023,2428,82832
1530,2020-04-19,Staten Island,239,9913,874,24409
1552,2020-04-18,Bronx,804,28823,2162,58605
1573,2020-04-18,Brooklyn,719,36482,2390,74825
1580,2020-04-18,Manhattan,288,18220,1093,46204
1590,2020-04-18,Queens,1021,41237,3338,80404
1592,2020-04-18,Staten Island,341,9674,1288,23535
1614,2020-04-17,Bronx,984,28019,2597,56443
1635,2020-04-17,Brooklyn,1058,35763,3016,72435
1642,2020-04-17,Manhattan,442,17932,1585,45111
1652,2020-04-17,Queens,1125,40216,3347,77066
1654,2020-04-17,Staten Island,302,9333,1106,22247
1676,2020-04-16,Bronx,1103,27035,2793,53846
1697,2020-04-16,Brooklyn,1184,34705,3347,69419
1704,2020-04-16,Manhattan,399,17490,1476,43526
1714,2020-04-16,Queens,1173,39091,3056,73719
1716,2020-04-16,Staten Island,347,9031,1084,21141
1738,2020-04-15,Bronx,1279,25932,2939,51053
1759,2020-04-15,Brooklyn,1552,33521,3724,66072
1766,2020-04-15,Manhattan,474,17091,1533,42050
1776,2020-04-15,Queens,1153,37918,3144,70663
1778,2020-04-15,Staten Island,386,8684,1184,20057
1800,2020-04-14,Bronx,1387,24653,2622,48114
1821,2020-04-14,Brooklyn,2663,31969,5103,62348
1828,2020-04-14,Manhattan,1737,16617,4068,40517
1838,2020-04-14,Queens,1712,36765,3674,67519
1840,2020-04-14,Staten Island,338,8298,743,18873
1862,2020-04-13,Bronx,1061,23266,2294,45492
1883,2020-04-13,Brooklyn,902,29306,2055,57245
1890,2020-04-13,Manhattan,379,14880,1206,36449
1900,2020-04-13,Queens,1068,35053,2430,63845
1902,2020-04-13,Staten Island,292,7960,725,18130
1924,2020-04-12,Bronx,764,22205,1623,43198
1945,2020-04-12,Brooklyn,933,28404,2029,55190
1952,2020-04-12,Manhattan,356,14501,1033,35243
1962,2020-04-12,Queens,1150,33985,2481,61415
1964,2020-04-12,Staten Island,352,7668,887,17405
1986,2020-04-11,Bronx,964,21441,2081,41575
2007,2020-04-11,Brooklyn,1228,27471,2670,53161
2014,2020-04-11,Manhattan,708,14145,1783,34210
2024,2020-04-11,Queens,1544,32835,3219,58934
2026,2020-04-11,Staten Island,456,7316,1030,16518
2048,2020-04-10,Bronx,1317,20477,2580,39494
2069,2020-04-10,Brooklyn,1528,26243,2887,50491
2076,2020-04-10,Manhattan,715,13437,1685,32427
2086,2020-04-10,Queens,1988,31291,3803,55715
2088,2020-04-10,Staten Island,376,6860,807,15488
2110,2020-04-09,Bronx,1368,19160,2637,36914
2131,2020-04-09,Brooklyn,1321,24715,2578,47604
2138,2020-04-09,Manhattan,616,12722,1659,30742
2148,2020-04-09,Queens,1551,29303,2941,51912
2150,2020-04-09,Staten Island,500,6484,1212,14681
2172,2020-04-08,Bronx,1166,17792,2348,34277
2193,2020-04-08,Brooklyn,1312,23394,2565,45026
2200,2020-04-08,Manhattan,602,12106,1424,29083
2210,2020-04-08,Queens,1504,27752,2831,48971
2212,2020-04-08,Staten Island,641,5984,1528,13469
2234,2020-04-07,Bronx,1278,16626,2562,31929
2255,2020-04-07,Brooklyn,1203,22082,2607,42461
2262,2020-04-07,Manhattan,492,11504,1257,27659
2272,2020-04-07,Queens,1408,26248,2884,46140
2274,2020-04-07,Staten Island,546,5343,1262,11941
2296,2020-04-06,Bronx,1021,15348,1996,29367
2317,2020-04-06,Brooklyn,1177,20879,2245,39854
2324,2020-04-06,Manhattan,572,11012,1249,26402
2334,2020-04-06,Queens,1707,24840,2864,43256
2336,2020-04-06,Staten Island,218,4797,605,10679
2358,2020-04-05,Bronx,959,14327,1628,27371
2379,2020-04-05,Brooklyn,1144,19702,2013,37609
2386,2020-04-05,Manhattan,542,10440,1162,25153
2396,2020-04-05,Queens,1697,23133,2730,40392
2398,2020-04-05,Staten Island,288,4579,600,10074
2420,2020-04-04,Bronx,1053,13368,1778,25743
2441,2020-04-04,Brooklyn,1054,18558,1990,35596
2448,2020-04-04,Manhattan,598,9898,1278,23991
2458,2020-04-04,Queens,1322,21436,2255,37662
2460,2020-04-04,Staten Island,218,4291,513,9474
2482,2020-04-03,Bronx,1229,12315,2108,23965
2503,2020-04-03,Brooklyn,1804,17504,3234,33606
2510,2020-04-03,Manhattan,848,9300,1820,22713
2520,2020-04-03,Queens,1947,20114,3407,35407
2522,2020-04-03,Staten Island,319,4073,679,8961
2544,2020-04-02,Bronx,1159,11086,1946,21857
2565,2020-04-02,Brooklyn,1396,15700,2512,30372
2572,2020-04-02,Manhattan,609,8452,1294,20893
2582,2020-04-02,Queens,1899,18167,3048,32000
2584,2020-04-02,Staten Island,287,3754,563,8282
2606,2020-04-01,Bronx,1066,9927,1754,19911
2627,2020-04-01,Brooklyn,1189,14304,2041,27860
2634,2020-04-01,Manhattan,470,7843,1002,19599
2644,2020-04-01,Queens,1366,16268,2157,28952
2646,2020-04-01,Staten Island,279,3467,559,7719
2668,2020-03-31,Bronx,1095,8861,1818,18157
2689,2020-03-31,Brooklyn,1198,13115,2011,25819
2696,2020-03-31,Manhattan,497,7373,1015,18597
2706,2020-03-31,Queens,1211,14902,1871,26795
2708,2020-03-31,Staten Island,299,3188,616,7160
2730,2020-03-30,Bronx,804,7766,1341,16339
2751,2020-03-30,Brooklyn,1888,11917,3113,23808
2758,2020-03-30,Manhattan,648,6876,1422,17582
2768,2020-03-30,Queens,2022,13691,3325,24924
2770,2020-03-30,Staten Island,324,2889,691,6544
2792,2020-03-29,Bronx,658,6962,1160,14998
2813,2020-03-29,Brooklyn,1011,10029,1627,20695
2820,2020-03-29,Manhattan,422,6228,788,16160
2830,2020-03-29,Queens,1258,11669,1915,21599
2832,2020-03-29,Staten Island,336,2565,711,5853
2854,2020-03-28,Bronx,901,6304,1529,13838
2875,2020-03-28,Brooklyn,973,9018,1790,19068
2882,2020-03-28,Manhattan,590,5806,1160,15372
2892,2020-03-28,Queens,1136,10411,1845,19684
2894,2020-03-28,Staten Island,402,2229,878,5142
